code,title,units,prerequisites,corequisites,grading,ge_area,availability,details,url
POSC 102,Public Policy/California Politics(opens in a new tab),,,,,,,"POSC 102 - Public Policy/California Politics (opens in a new tab) Units: 3 ; Breadth Area: GE-4; US-2, US-3",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188449
POSC 310,Power Moves: Exploring Politics Through Games(opens in a new tab),,,,,,,POSC 310 - Power Moves: Exploring Politics Through Games (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189661
POSC 311,The American Presidency(opens in a new tab),,,,,,,POSC 311 - The American Presidency (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187344
POSC 312,United States Congress(opens in a new tab),,,,,,,POSC 312 - United States Congress (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187335
POSC 315,Bay Area Politics(opens in a new tab),,,,,,,POSC 315 - Bay Area Politics (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187347
POSC 316,Politics of California(opens in a new tab),,,,,,,"POSC 316 - Politics of California (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4; US-2, US-3",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187348
POSC 319,Social Media and Political Communication(opens in a new tab),,,,,,,POSC 319 - Social Media and Political Communication (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189505
POSC 330,Voting and Public Opinion(opens in a new tab),,,,,,,"POSC 330 - Voting and Public Opinion (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4 ; US-2, US-3 ; Diversity",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187258
POSC 331,Political Parties and Campaigning(opens in a new tab),,,,,,,POSC 331 - Political Parties and Campaigning (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187349
POSC 332,Yes We Can! Advocacy and Action(opens in a new tab),,,,,,,POSC 332 - Yes We Can! Advocacy and Action (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4; Social Justice,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187350
POSC 333,Grab ‘Em by the Politics: Campaign Skills(opens in a new tab),,,,,,,POSC 333 - Grab ‘Em by the Politics: Campaign Skills (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187353
POSC 334,"Interest Groups, Lobbying, and Political Reform(opens in a new tab)",,,,,,,"POSC 334 - Interest Groups, Lobbying, and Political Reform (opens in a new tab) Units: 3",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187354
POSC 335,From Suffragettes to #MeToo(opens in a new tab),,,,,,,POSC 335 - From Suffragettes to #MeToo (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187355
POSC 336,This is America: Race Politics(opens in a new tab),,,,,,,POSC 336 - This is America: Race Politics (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4; Diversity,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187356
POSC 337,African American Politics(opens in a new tab),,,,,,,POSC 337 - African American Politics (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187357
POSC 338,Asian American Politics(opens in a new tab),,,,,,,POSC 338 - Asian American Politics (opens in a new tab) Units: 3 ; Breadth Area: GE-6; Social Justice,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187358
POSC 321,Comparative Politics of Europe and the European Union(opens in a new tab),,,,,,,POSC 321 - Comparative Politics of Europe and the European Union (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188728
POSC 323,Comparative Politics of East Asia(opens in a new tab),,,,,,,POSC 323 - Comparative Politics of East Asia (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188727
POSC 324,Government and Politics in the Middle East(opens in a new tab),,,,,,,POSC 324 - Government and Politics in the Middle East (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187276
POSC 327,Political Systems of Latin America(opens in a new tab),,,,,,,POSC 327 - Political Systems of Latin America (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188725
POSC 347,Comparative Law(opens in a new tab),,,,,,,POSC 347 - Comparative Law (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187336
POSC 350,World Problems and Global Response(opens in a new tab),,,,,,,POSC 350 - World Problems and Global Response (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187362
POSC 351,International Relations(opens in a new tab),,,,,,,POSC 351 - International Relations (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188723
POSC 352,International Security(opens in a new tab),,,,,,,POSC 352 - International Security (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187327
POSC 354,United States Foreign Policy(opens in a new tab),,,,,,,POSC 354 - United States Foreign Policy (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188722
POSC 355,Global Governance and the United Nations(opens in a new tab),,,,,,,POSC 355 - Global Governance and the United Nations (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188721
POSC 361,International Relations of the Asia/Indo-Pacific(opens in a new tab),,,,,,,POSC 361 - International Relations of the Asia/Indo-Pacific (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189727
POSC 362,International Relations of the Americas(opens in a new tab),,,,,,,POSC 362 - International Relations of the Americas (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189728
POSC 370,American Political Thought(opens in a new tab),,,,,,,POSC 370 - American Political Thought (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189487
POSC 371,"Greek, Roman and Medieval Political Thought(opens in a new tab)",,,,,,,"POSC 371 - Greek, Roman and Medieval Political Thought (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-3",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188668
POSC 373,Contemporary Political Thought(opens in a new tab),,,,,,,POSC 373 - Contemporary Political Thought (opens in a new tab) Units: 3 ; Breadth Area: Social Justice,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187277
POSC 374,Marxism in Theory and Practice(opens in a new tab),,,,,,,POSC 374 - Marxism in Theory and Practice (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188667
POSC 340,Law and Society(opens in a new tab),,,,,,,POSC 340 - Law and Society (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187334
POSC 341,American Constitutional Law: Government(opens in a new tab),,,,,,,POSC 341 - American Constitutional Law: Government (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187337
POSC 342,American Constitutional Law: Rights(opens in a new tab),,,,,,,POSC 342 - American Constitutional Law: Rights (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187338
POSC 343,Survey of American Law(opens in a new tab),,,,,,,POSC 343 - Survey of American Law (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187339
POSC 344,Environmental Law(opens in a new tab),,,,,,,POSC 344 - Environmental Law (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187340
POSC 345,International Law(opens in a new tab),,,,,,,POSC 345 - International Law (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188724
POSC 377,Philosophy of Law(opens in a new tab),,,,,,,POSC 377 - Philosophy of Law (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-3; Social Justice,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187341
POSC 380,Public Policy Analysis(opens in a new tab),,,,,,,POSC 380 - Public Policy Analysis (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4; Social Justice,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188666
POSC 382,U.S. Immigration Policy and Law(opens in a new tab),,,,,,,POSC 382 - U.S. Immigration Policy and Law (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4; Diversity,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188665
POSC 383,Labor Policy and Law(opens in a new tab),,,,,,,POSC 383 - Labor Policy and Law (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4; Social Justice,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188664
POSC 385,Public Personnel Management and Labor Relations(opens in a new tab),,,,,,,POSC 385 - Public Personnel Management and Labor Relations (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189687
POSC 411,Public Policy and the Environment(opens in a new tab),,,,,,,POSC 411 - Public Policy and the Environment (opens in a new tab) Units: 3 ; Breadth Area: Sustainability,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187363
